sample_index,observed,AR(3),MA(2),"ARMA(3,2)","ARIMA(3,1,2)",Training-mean baseline
2044,1306.0,1025.4715696947812,1026.0380355563846,1026.0309665017696,1110.1821468442463,1026.0311111111112
2045,1256.0,1025.4715748072942,1026.0380355563846,1026.030966520709,1110.1821467694049,1026.0311111111112
2046,1190.0,1025.4715790470707,1026.0380355563846,1026.0309665337938,1110.1821466626611,1026.0311111111112
2047,1120.0,1025.4715823140232,1026.0380355563846,1026.030966540443,1110.1821465435057,1026.0311111111112
2048,1057.0,1025.4715845684207,1026.0380355563846,1026.0309665409236,1110.1821464302152,1026.0311111111112
2049,1012.0,1025.471585825331,1026.0380355563846,1026.0309665361822,1110.1821463375163,1026.0311111111112
2050,986.0,1025.471586147056,1026.0380355563846,1026.0309665276234,1110.1821462750902,1026.0311111111112
2051,974.0,1025.4715856341843,1026.0380355563846,1026.0309665168706,1110.1821462469952,1026.0311111111112
2052,971.0,1025.4715844158713,1026.0380355563846,1026.0309665055404,1110.1821462519515,1026.0311111111112
2053,975.0,1025.471582639925,1026.0380355563846,1026.0309664950541,1110.1821462843182,1026.0311111111112
2054,979.0,1025.4715804632062,1026.0380355563846,1026.0309664865028,1110.1821463355245,1026.0311111111112
2055,980.0,1025.4715780427784,1026.0380355563846,1026.0309664805736,1110.1821463956903,1026.0311111111112
2056,979.0,1025.4715755281497,1026.0380355563846,1026.0309664775345,1110.182146455183,1026.0311111111112
2057,976.0,1025.4715730548533,1026.0380355563846,1026.0309664772717,1110.1821465059083,1026.0311111111112
2058,973.0,1025.4715707395128,1026.0380355563846,1026.0309664793638,1110.1821465421933,1026.0311111111112
2059,967.0,1025.471568676457,1026.0380355563846,1026.0309664831827,1110.1821465612059,1026.0311111111112
2060,963.0,1025.4715669358493,1026.0380355563846,1026.030966488,1110.1821465629178,1026.0311111111112
